year,bod
1947,1.941
1948,1.941
1949,2.183
1950,2.062
1951,2.426
1952,2.183
1953,2.426
1954,2.426
1955,2.668
1956,2.547
1957,9.582
1958,14.677
1959,24.259
1960,24.016
1961,27.412
1962,28.504
1963,30.93
1964,36.024
1965,37.844
1966,41.846
1967,40.027
1968,36.995
1969,32.385
1970,38.814
1971,18.073
1972,22.682
1973,22.075
1974,14.191
1975,13.706
1976,17.951
1977,12.493
1978,12.736
1979,15.162
1980,14.07
1981,17.951
1982,11.644
1983,9.097
1984,10.674
1985,10.067
1986,9.097
1987,9.218
1988,9.582
1989,9.097
1990,8.733
1991,7.399
1992,6.55
1993,1.32
1994,0.57
1995,0.52
1996,0.52
1997,0.35
1998,0.52
1999,0.52
2000,0.57
2001,0.53
2002,0.47
2003,0.57
2004,0.7
2005,0.45
2006,0.43
2007,0.31
2008,0.31
2009,0.2
2010,0.29
2011,0.29
2012,0.43
2013,0.43
2014,0.43
2015,0.5
2016,0.49
2017,0.54
