date,BEUTI,lat
1988-01-15T00:00:00Z,-0.442,45N
1988-02-15T00:00:00Z,3.258,45N
1988-03-15T00:00:00Z,0.762,45N
1988-04-15T00:00:00Z,0.902,45N
1988-05-15T00:00:00Z,0.068,45N
1988-06-15T00:00:00Z,0.297,45N
1988-07-15T00:00:00Z,1.198,45N
1988-08-15T00:00:00Z,1.712,45N
1988-09-15T00:00:00Z,1.252,45N
1988-10-15T00:00:00Z,0.462,45N
1988-11-15T00:00:00Z,-0.401,45N
1988-12-15T00:00:00Z,1.051,45N
1989-01-15T00:00:00Z,0.949,45N
1989-02-15T00:00:00Z,-1.359,45N
1989-03-15T00:00:00Z,-10.264,45N
1989-04-15T00:00:00Z,2.079,45N
1989-05-15T00:00:00Z,1.16,45N
1989-06-15T00:00:00Z,0.739,45N
1989-07-15T00:00:00Z,0.125,45N
1989-08-15T00:00:00Z,0.726,45N
1989-09-15T00:00:00Z,1.485,45N
1989-10-15T00:00:00Z,0.31,45N
1989-11-15T00:00:00Z,0.222,45N
1989-12-15T00:00:00Z,1.228,45N
1990-01-15T00:00:00Z,-4.569,45N
1990-02-15T00:00:00Z,-1.89,45N
1990-03-15T00:00:00Z,1.17,45N
1990-04-15T00:00:00Z,3.576,45N
1990-05-15T00:00:00Z,2.684,45N
1990-06-15T00:00:00Z,0.115,45N
1990-07-15T00:00:00Z,0.828,45N
1990-08-15T00:00:00Z,1.119,45N
1990-09-15T00:00:00Z,0.161,45N
1990-10-15T00:00:00Z,0.015,45N
1990-11-15T00:00:00Z,-0.011,45N
1990-12-15T00:00:00Z,5.267,45N
1991-01-15T00:00:00Z,-0.597,45N
1991-02-15T00:00:00Z,-5.348,45N
1991-03-15T00:00:00Z,0.739,45N
1991-04-15T00:00:00Z,-1.209,45N
1991-05-15T00:00:00Z,3.411,45N
1991-06-15T00:00:00Z,3.638,45N
1991-07-15T00:00:00Z,1.748,45N
1991-08-15T00:00:00Z,0.436,45N
1991-09-15T00:00:00Z,0.237,45N
1991-10-15T00:00:00Z,1.151,45N
1991-11-15T00:00:00Z,-0.773,45N
1991-12-15T00:00:00Z,-1.206,45N
1992-01-15T00:00:00Z,-7.41,45N
1992-02-15T00:00:00Z,-1.782,45N
1992-03-15T00:00:00Z,1.359,45N
1992-04-15T00:00:00Z,0.042,45N
1992-05-15T00:00:00Z,0.342,45N
1992-06-15T00:00:00Z,0.403,45N
1992-07-15T00:00:00Z,0.528,45N
1992-08-15T00:00:00Z,0.507,45N
1992-09-15T00:00:00Z,0.603,45N
1992-10-15T00:00:00Z,0.406,45N
1992-11-15T00:00:00Z,-0.141,45N
1992-12-15T00:00:00Z,-0.54,45N
1993-01-15T00:00:00Z,-0.284,45N
1993-02-15T00:00:00Z,0.319,45N
1993-03-15T00:00:00Z,-3.679,45N
1993-04-15T00:00:00Z,-3.822,45N
1993-05-15T00:00:00Z,-0.029,45N
1993-06-15T00:00:00Z,0.082,45N
1993-07-15T00:00:00Z,0.182,45N
1993-08-15T00:00:00Z,0.309,45N
1993-09-15T00:00:00Z,0.888,45N
1993-10-15T00:00:00Z,0.426,45N
1993-11-15T00:00:00Z,1.123,45N
1993-12-15T00:00:00Z,-7.233,45N
1994-01-15T00:00:00Z,-2.582,45N
1994-02-15T00:00:00Z,-4.906,45N
1994-03-15T00:00:00Z,0.318,45N
1994-04-15T00:00:00Z,1.092,45N
1994-05-15T00:00:00Z,0.73,45N
1994-06-15T00:00:00Z,0.12,45N
1994-07-15T00:00:00Z,1.039,45N
1994-08-15T00:00:00Z,0.068,45N
1994-09-15T00:00:00Z,0.045,45N
1994-10-15T00:00:00Z,0.285,45N
1994-11-15T00:00:00Z,-1.412,45N
1994-12-15T00:00:00Z,-9.285,45N
1995-01-15T00:00:00Z,-7.616,45N
1995-02-15T00:00:00Z,-2.708,45N
1995-03-15T00:00:00Z,-3.258,45N
1995-04-15T00:00:00Z,2.354,45N
1995-05-15T00:00:00Z,1.516,45N
1995-06-15T00:00:00Z,0.753,45N
1995-07-15T00:00:00Z,0.568,45N
1995-08-15T00:00:00Z,0.691,45N
1995-09-15T00:00:00Z,0.072,45N
1995-10-15T00:00:00Z,0.05,45N
1995-11-15T00:00:00Z,-0.968,45N
1995-12-15T00:00:00Z,-1.355,45N
1996-01-15T00:00:00Z,0.274,45N
1996-02-15T00:00:00Z,-2.839,45N
1996-03-15T00:00:00Z,-0.425,45N
1996-04-15T00:00:00Z,-2.793,45N
1996-05-15T00:00:00Z,0.679,45N
1996-06-15T00:00:00Z,0.552,45N
1996-07-15T00:00:00Z,0.922,45N
1996-08-15T00:00:00Z,2.209,45N
1996-09-15T00:00:00Z,0.255,45N
1996-10-15T00:00:00Z,0.194,45N
