date,CUTI,lat
1988-01-15T00:00:00Z,-0.062,45N
1988-02-15T00:00:00Z,0.23,45N
1988-03-15T00:00:00Z,0.068,45N
1988-04-15T00:00:00Z,0.065,45N
1988-05-15T00:00:00Z,-0.004,45N
1988-06-15T00:00:00Z,0.379,45N
1988-07-15T00:00:00Z,0.726,45N
1988-08-15T00:00:00Z,0.633,45N
1988-09-15T00:00:00Z,0.451,45N
1988-10-15T00:00:00Z,0.271,45N
1988-11-15T00:00:00Z,-0.378,45N
1988-12-15T00:00:00Z,0.204,45N
1989-01-15T00:00:00Z,0.076,45N
1989-02-15T00:00:00Z,0.004,45N
1989-03-15T00:00:00Z,-0.437,45N
1989-04-15T00:00:00Z,0.2,45N
1989-05-15T00:00:00Z,0.319,45N
1989-06-15T00:00:00Z,0.362,45N
1989-07-15T00:00:00Z,0.406,45N
1989-08-15T00:00:00Z,0.494,45N
1989-09-15T00:00:00Z,0.484,45N
1989-10-15T00:00:00Z,-0.06,45N
1989-11-15T00:00:00Z,0.08,45N
1989-12-15T00:00:00Z,0.124,45N
1990-01-15T00:00:00Z,-0.429,45N
1990-02-15T00:00:00Z,-0.103,45N
1990-03-15T00:00:00Z,0.087,45N
1990-04-15T00:00:00Z,0.259,45N
1990-05-15T00:00:00Z,0.221,45N
1990-06-15T00:00:00Z,0.3,45N
1990-07-15T00:00:00Z,0.635,45N
1990-08-15T00:00:00Z,0.263,45N
1990-09-15T00:00:00Z,0.355,45N
1990-10-15T00:00:00Z,0.108,45N
1990-11-15T00:00:00Z,-0.019,45N
1990-12-15T00:00:00Z,0.443,45N
1991-01-15T00:00:00Z,-0.035,45N
1991-02-15T00:00:00Z,-0.222,45N
1991-03-15T00:00:00Z,0.046,45N
1991-04-15T00:00:00Z,-0.01,45N
1991-05-15T00:00:00Z,0.39,45N
1991-06-15T00:00:00Z,0.603,45N
1991-07-15T00:00:00Z,0.653,45N
1991-08-15T00:00:00Z,0.16,45N
1991-09-15T00:00:00Z,0.558,45N
1991-10-15T00:00:00Z,0.381,45N
1991-11-15T00:00:00Z,-0.199,45N
1991-12-15T00:00:00Z,-0.098,45N
1992-01-15T00:00:00Z,-0.719,45N
1992-02-15T00:00:00Z,-0.212,45N
1992-03-15T00:00:00Z,0.311,45N
1992-04-15T00:00:00Z,-0.075,45N
1992-05-15T00:00:00Z,0.614,45N
1992-06-15T00:00:00Z,0.445,45N
1992-07-15T00:00:00Z,0.551,45N
1992-08-15T00:00:00Z,0.425,45N
1992-09-15T00:00:00Z,0.283,45N
1992-10-15T00:00:00Z,0.139,45N
1992-11-15T00:00:00Z,-0.073,45N
1992-12-15T00:00:00Z,-0.036,45N
1993-01-15T00:00:00Z,-0.035,45N
1993-02-15T00:00:00Z,-0.039,45N
1993-03-15T00:00:00Z,-0.259,45N
1993-04-15T00:00:00Z,-0.468,45N
1993-05-15T00:00:00Z,0.034,45N
1993-06-15T00:00:00Z,0.369,45N
1993-07-15T00:00:00Z,0.448,45N
1993-08-15T00:00:00Z,0.539,45N
1993-09-15T00:00:00Z,0.371,45N
1993-10-15T00:00:00Z,0.169,45N
1993-11-15T00:00:00Z,0.27,45N
1993-12-15T00:00:00Z,-0.602,45N
1994-01-15T00:00:00Z,-0.237,45N
1994-02-15T00:00:00Z,-0.367,45N
1994-03-15T00:00:00Z,0.072,45N
1994-04-15T00:00:00Z,0.135,45N
1994-05-15T00:00:00Z,0.436,45N
1994-06-15T00:00:00Z,0.387,45N
1994-07-15T00:00:00Z,0.675,45N
1994-08-15T00:00:00Z,0.308,45N
1994-09-15T00:00:00Z,0.334,45N
1994-10-15T00:00:00Z,0.114,45N
1994-11-15T00:00:00Z,-0.163,45N
1994-12-15T00:00:00Z,-0.731,45N
1995-01-15T00:00:00Z,-0.737,45N
1995-02-15T00:00:00Z,-0.169,45N
1995-03-15T00:00:00Z,-0.549,45N
1995-04-15T00:00:00Z,0.276,45N
1995-05-15T00:00:00Z,0.518,45N
1995-06-15T00:00:00Z,0.346,45N
1995-07-15T00:00:00Z,0.463,45N
1995-08-15T00:00:00Z,0.36,45N
1995-09-15T00:00:00Z,0.236,45N
1995-10-15T00:00:00Z,0.207,45N
1995-11-15T00:00:00Z,-0.429,45N
1995-12-15T00:00:00Z,-0.639,45N
1996-01-15T00:00:00Z,-0.086,45N
1996-02-15T00:00:00Z,-0.509,45N
1996-03-15T00:00:00Z,-0.028,45N
1996-04-15T00:00:00Z,-0.48,45N
1996-05-15T00:00:00Z,0.429,45N
1996-06-15T00:00:00Z,0.551,45N
1996-07-15T00:00:00Z,0.623,45N
1996-08-15T00:00:00Z,0.395,45N
1996-09-15T00:00:00Z,0.267,45N
1996-10-15T00:00:00Z,0.134,45N
1996-11-15T00:00:00Z,0.097,45N
1996-12-15T00:00:00Z,-0.591,45N
1997-01-15T00:00:00Z,-0.194,45N
1997-02-15T00:00:00Z,0.185,45N
1997-03-15T00:00:00Z,-0.285,45N
1997-04-15T00:00:00Z,0.119,45N
1997-05-15T00:00:00Z,0.148,45N
1997-06-15T00:00:00Z,0.33,45N
1997-07-15T00:00:00Z,0.56,45N
1997-08-15T00:00:00Z,0.135,45N
1997-09-15T00:00:00Z,-0.08,45N
1997-10-15T00:00:00Z,-0.152,45N
1997-11-15T00:00:00Z,-0.467,45N
1997-12-15T00:00:00Z,-0.132,45N
1998-01-15T00:00:00Z,-0.952,45N
1998-02-15T00:00:00Z,-0.982,45N
1998-03-15T00:00:00Z,0.076,45N
1998-04-15T00:00:00Z,0.18,45N
1998-05-15T00:00:00Z,0.341,45N
1998-06-15T00:00:00Z,0.527,45N
1998-07-15T00:00:00Z,0.377,45N
1998-08-15T00:00:00Z,0.525,45N
1998-09-15T00:00:00Z,0.5,45N
1998-10-15T00:00:00Z,0.021,45N
1998-11-15T00:00:00Z,-0.722,45N
1998-12-15T00:00:00Z,-0.078,45N
1999-01-15T00:00:00Z,-0.288,45N
1999-02-15T00:00:00Z,-1.252,45N
1999-03-15T00:00:00Z,-0.404,45N
1999-04-15T00:00:00Z,0.553,45N
1999-05-15T00:00:00Z,0.497,45N
1999-06-15T00:00:00Z,0.258,45N
1999-07-15T00:00:00Z,0.465,45N
1999-08-15T00:00:00Z,0.306,45N
1999-09-15T00:00:00Z,0.64,45N
1999-10-15T00:00:00Z,0.102,45N
1999-11-15T00:00:00Z,-0.641,45N
1999-12-15T00:00:00Z,-0.008,45N
2000-01-15T00:00:00Z,-0.293,45N
2000-02-15T00:00:00Z,-0.266,45N
2000-03-15T00:00:00Z,0.109,45N
2000-04-15T00:00:00Z,0.209,45N
2000-05-15T00:00:00Z,0.251,45N
2000-06-15T00:00:00Z,0.566,45N
2000-07-15T00:00:00Z,0.427,45N
2000-08-15T00:00:00Z,0.487,45N
2000-09-15T00:00:00Z,0.251,45N
2000-10-15T00:00:00Z,0.108,45N
2000-11-15T00:00:00Z,0.222,45N
2000-12-15T00:00:00Z,-0.314,45N
2001-01-15T00:00:00Z,-0.409,45N
2001-02-15T00:00:00Z,0.232,45N
2001-03-15T00:00:00Z,0.541,45N
2001-04-15T00:00:00Z,0.182,45N
2001-05-15T00:00:00Z,0.471,45N
2001-06-15T00:00:00Z,0.418,45N
2001-07-15T00:00:00Z,0.776,45N
2001-08-15T00:00:00Z,0.161,45N
2001-09-15T00:00:00Z,0.43,45N
2001-10-15T00:00:00Z,0.108,45N
2001-11-15T00:00:00Z,-0.725,45N
2001-12-15T00:00:00Z,-0.257,45N
2002-01-15T00:00:00Z,-0.312,45N
2002-02-15T00:00:00Z,0.089,45N
2002-03-15T00:00:00Z,0.236,45N
2002-04-15T00:00:00Z,0.678,45N
2002-05-15T00:00:00Z,0.428,45N
2002-06-15T00:00:00Z,0.363,45N
2002-07-15T00:00:00Z,0.652,45N
2002-08-15T00:00:00Z,0.543,45N
2002-09-15T00:00:00Z,0.344,45N
2002-10-15T00:00:00Z,0.343,45N
2002-11-15T00:00:00Z,-0.867,45N
2002-12-15T00:00:00Z,-1.022,45N
2003-01-15T00:00:00Z,-0.534,45N
2003-02-15T00:00:00Z,0.116,45N
2003-03-15T00:00:00Z,-0.463,45N
2003-04-15T00:00:00Z,-0.25,45N
2003-05-15T00:00:00Z,0.454,45N
2003-06-15T00:00:00Z,0.918,45N
2003-07-15T00:00:00Z,0.68,45N
2003-08-15T00:00:00Z,0.513,45N
2003-09-15T00:00:00Z,0.501,45N
2003-10-15T00:00:00Z,-0.318,45N
2003-11-15T00:00:00Z,-0.213,45N
2003-12-15T00:00:00Z,-0.5,45N
2004-01-15T00:00:00Z,-0.336,45N
2004-02-15T00:00:00Z,-0.266,45N
2004-03-15T00:00:00Z,0.233,45N
2004-04-15T00:00:00Z,0.117,45N
2004-05-15T00:00:00Z,0.279,45N
2004-06-15T00:00:00Z,0.535,45N
2004-07-15T00:00:00Z,0.486,45N
2004-08-15T00:00:00Z,0.364,45N
2004-09-15T00:00:00Z,0.404,45N
2004-10-15T00:00:00Z,0.029,45N
2004-11-15T00:00:00Z,0.576,45N
2004-12-15T00:00:00Z,-0.13,45N
2005-01-15T00:00:00Z,-0.362,45N
2005-02-15T00:00:00Z,0.299,45N
2005-03-15T00:00:00Z,-0.271,45N
