somass_run,HR
150000,0
200000,0.15
210000,0.161904762
250000,0.2
280000,0.21875
300000,0.229166667
350000,0.25
400000,0.291666667
450000,0.324074074
500000,0.35
550000,0.397727273
600000,0.4375
650000,0.471153846
700000,0.5
750000,0.522222222
800000,0.541666667
850000,0.558823529
900000,0.574074074
950000,0.587719298
1000000,0.6
1050000,0.618253968
1100000,0.634848485
1150000,0.65
1200000,0.658928571
1250000,0.667142857
1300000,0.674725275
1350000,0.681746032
1400000,0.688265306
1450000,0.694334975
1500000,0.7
