Site,Specie,Sampling Date, Fish No., Scale Book No., Scale, Age, POH Length(MM), Total Length, Sex, Pit Tag,DNA,ID,Comments, Comment
Stamp,Sockeye,07/19/2024,1,1059806,1,42,427,540,female,FALSE,24651,GCL,,DNA 24651-24700
Stamp,Sockeye,07/19/2024,2,1059806,2,42,458,575,female,FALSE,24652,GCL,,
Stamp,Sockeye,07/19/2024,3,1059806,3,42,404,510,female,FALSE,24653,GCL,,
Stamp,Sockeye,07/19/2024,4,1059806,4,32,339,426,male,FALSE,24654,GCL,,
Stamp,Sockeye,07/19/2024,5,1059806,5,52,476,595,female,FALSE,24655,GCL,,
Stamp,Sockeye,07/19/2024,6,1059806,6,32,335,429,male,FALSE,24656,GCL,,
Stamp,Sockeye,07/19/2024,7,1059806,7,32,342,435,male,FALSE,24657,Sproat,,
Stamp,Sockeye,07/19/2024,8,1059806,8,42,404,499,female,FALSE,24658,GCL,,
Stamp,Sockeye,07/19/2024,9,1059806,9,32,330,424,male,FALSE,24659,GCL,,
Stamp,Sockeye,07/19/2024,10,1059806,10,32,331,425,male,FALSE,24660,Sproat,,
Stamp,Sockeye,07/19/2024,11,1059806,11,42,433,535,female,FALSE,24661,GCL,,
Stamp,Sockeye,07/19/2024,12,1059806,12,32,294,384,male,FALSE,24662,GCL,,
Stamp,Sockeye,07/19/2024,13,1059806,13,42,444,561,female,FALSE,24663,Sproat,,
Stamp,Sockeye,07/19/2024,14,1059806,14,42,483,625,male,FALSE,24664,GCL,,
Stamp,Sockeye,07/19/2024,15,1059806,15,RG,401,494,female,FALSE,24665,GCL,,
Stamp,Sockeye,07/19/2024,16,1059806,16,42,443,565,female,FALSE,24666,GCL,,
Stamp,Sockeye,07/19/2024,17,1059806,17,42,406,521,female,FALSE,24667,GCL,,
Stamp,Sockeye,07/19/2024,18,1059806,18,42,435,542,male,FALSE,24668,Sproat,,
Stamp,Sockeye,07/19/2024,19,1059806,19,53,425,544,female,FALSE,24669,GCL,,
Stamp,Sockeye,07/19/2024,20,1059806,20,42,423,544,female,FALSE,24670,GCL,,
Stamp,Sockeye,07/19/2024,21,1059806,21,42,405,522,female,FALSE,24671,GCL,,
Stamp,Sockeye,07/19/2024,22,1059806,22,32,330,425,male,FALSE,24672,GCL,,
Stamp,Sockeye,07/19/2024,23,1059806,23,42,440,563,female,FALSE,24673,Sproat,,
Stamp,Sockeye,07/19/2024,24,1059806,24,32,325,407,male,FALSE,24674,GCL,,
Stamp,Sockeye,07/19/2024,25,1059806,25,32,315,412,male,FALSE,24675,GCL,,
Stamp,Sockeye,07/19/2024,26,1059807,1,43,341,439,male,FALSE,24676,GCL,,
Stamp,Sockeye,07/19/2024,27,1059807,2,32,301,380,male,FALSE,24677,GCL,,
Stamp,Sockeye,07/19/2024,28,1059807,3,32,325,417,male,FALSE,24678,GCL,,
Stamp,Sockeye,07/26/2024,36,1059821,11,42,490,625,female,FALSE,24835,,,
Stamp,Sockeye,07/26/2024,35,1059821,10,52,400,525,female,FALSE,24836,GCL,,
Stamp,Sockeye,07/26/2024,1,1059820,1,42,400,515,female,FALSE,24801,GCL,,DNA 24801-24849
Stamp,Sockeye,07/26/2024,2,1059820,2,42,420,525,female,FALSE,24802,GCL,,
Stamp,Sockeye,07/26/2024,3,1059820,3,42,395,516,female,FALSE,24803,GCL,,
Stamp,Sockeye,07/26/2024,4,1059820,4,42,441,541,female,FALSE,24804,GCL,,
Stamp,Sockeye,07/26/2024,5,1059820,5,53,473,601,female,FALSE,24805,GCL,,
Stamp,Sockeye,07/26/2024,6,1059820,6,53,445,566,female,FALSE,24806,GCL,,
Stamp,Sockeye,07/26/2024,7,1059820,7,42,464,600,male,FALSE,24807,Sproat,,
Stamp,Sockeye,07/26/2024,8,1059820,8,42,391,505,male,FALSE,24808,GCL,,
Stamp,Sockeye,07/26/2024,9,1059820,9,32,342,443,male,FALSE,24809,Sproat,,
Stamp,Sockeye,07/26/2024,10,1059820,10,52,455,592,female,FALSE,24810,GCL,,
Stamp,Sockeye,07/26/2024,11,1059820,11,MF,415,530,female,FALSE,24811,GCL,,
Stamp,Sockeye,07/26/2024,12,1059820,12,32,315,407,male,FALSE,24812,GCL,,
Stamp,Sockeye,07/26/2024,13,1059820,13,42,417,537,female,FALSE,24813,GCL,,
Stamp,Sockeye,07/26/2024,14,1059820,14,53,401,503,female,FALSE,24814,GCL,,
Stamp,Sockeye,07/26/2024,15,1059820,15,32,315,404,male,FALSE,24815,GCL,,
Stamp,Sockeye,07/26/2024,16,1059820,16,42,500,645,male,FALSE,24816,GCL,,
Stamp,Sockeye,07/26/2024,17,1059820,17,42,464,587,female,FALSE,24817,GCL,,
Stamp,Sockeye,07/26/2024,18,1059820,18,53,464,613,male,FALSE,24818,GCL,,
Stamp,Sockeye,07/26/2024,19,1059820,19,3M,415,540,female,FALSE,24819,,,
Stamp,Sockeye,07/26/2024,20,1059820,20,42,412,537,female,FALSE,24820,GCL,,
Stamp,Sockeye,07/26/2024,21,1059820,21,32,321,400,male,FALSE,24821,GCL,,
Stamp,Sockeye,07/26/2024,22,1059820,22,52,505,683,female,FALSE,24822,GCL,,
Stamp,Sockeye,07/26/2024,23,1059820,23,MF,327,423,male,FALSE,24823,GCL,,
Stamp,Sockeye,07/26/2024,24,1059820,24,42,460,580,male,FALSE,24824,GCL,,
Stamp,Sockeye,07/26/2024,25,1059820,25,42,430,545,female,FALSE,24825,GCL,,
Stamp,Sockeye,07/26/2024,26,1059821,1,53,447,511,female,FALSE,24826,GCL,,
Stamp,Sockeye,07/26/2024,27,1059821,2,42,435,561,male,FALSE,24827,GCL,,
Stamp,Sockeye,07/26/2024,28,1059821,3,42,443,576,male,FALSE,24828,Sproat,,
Stamp,Sockeye,07/26/2024,29,1059821,4,42,487,615,female,FALSE,24829,GCL,,
Stamp,Sockeye,07/26/2024,30,1059821,5,42,473,602,female,FALSE,24830,Sproat,,
Stamp,Sockeye,07/26/2024,31,1059821,6,42,430,552,female,FALSE,24831,GCL,,
Stamp,Sockeye,07/26/2024,32,1059821,7,42,421,528,female,FALSE,24832,GCL,,
Stamp,Sockeye,07/26/2024,33,1059821,8,42,440,565,female,FALSE,24833,,,
Stamp,Sockeye,07/26/2024,34,1059821,9,42,480,587,female,FALSE,24834,GCL,,
Stamp,Sockeye,07/26/2024,37,1059821,12,42,444,575,male,FALSE,24837,,,
Stamp,Sockeye,07/26/2024,38,1059821,13,42,376,485,female,FALSE,24838,GCL,,
Stamp,Sockeye,07/26/2024,39,1059821,14,42,447,576,male,FALSE,24839,GCL,,
Stamp,Sockeye,07/26/2024,40,1059821,15,1M,315,403,male,FALSE,24840,GCL,,
Stamp,Sockeye,07/26/2024,41,1059821,16,42,427,547,male,FALSE,24841,GCL,,
Stamp,Sockeye,07/26/2024,42,1059821,17,42,436,550,female,FALSE,24842,GCL,,
Stamp,Sockeye,07/26/2024,43,1059821,18,42,432,565,male,FALSE,24843,Sproat,,
Stamp,Sockeye,07/26/2024,44,1059821,19,42,410,523,female,FALSE,24844,,,
Stamp,Sockeye,07/26/2024,45,1059821,20,52,495,644,female,FALSE,24845,GCL,,
Stamp,Sockeye,07/26/2024,46,1059821,21,52,320,406,male,FALSE,24846,GCL,,
Stamp,Sockeye,07/26/2024,47,1059821,22,1M,402,525,female,FALSE,24847,GCL,,
Stamp,Sockeye,07/26/2024,48,1059821,23,42,443,562,female,FALSE,24848,GCL,,
Stamp,Sockeye,07/26/2024,49,1059821,24,3M,340,430,male,FALSE,24849,GCL,,
