"stock","return_year","ttl_age","fw_age","escapement","catch","fertilized","hatchery_release","escapement_data_source","catch_data_source","age_data_source","stockid_source","brood_year"
"GCL",1977,3,2,477.927927927928,18227.4135679317,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"GCL",1977,4,2,150069.369369369,331492.682403613,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"GCL",1977,4,3,1911.71171171171,2584.2883441252,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"GCL",1977,5,2,31543.2432432432,332408.813843175,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1972
"GCL",1977,5,3,22940.5405405405,74698.732955407,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1972
"GCL",1977,6,3,5257.20720720721,34892.4255607006,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1971
"SPR",1977,3,2,3920.21563342318,7113.08066539101,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"SPR",1977,4,2,63812.3989218329,126531.339927491,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"SPR",1977,4,3,217.789757412399,960.47621643167,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"SPR",1977,5,2,6751.48247978437,126329.455333946,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1972
"SPR",1977,5,3,5444.74393530997,28291.3482659776,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1972
"SPR",1977,6,3,653.369272237197,13223.8378534218,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1971
"GCL",1978,3,2,27793.4924078091,4852.7106408947,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1975
"GCL",1978,4,2,11167.0281995662,52626.0063827673,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"GCL",1978,4,3,2233.40563991323,505.213488024974,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"GCL",1978,5,2,45660.737527115,66610.5742089235,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"GCL",1978,5,3,21837.7440347072,13917.2287473804,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"GCL",1978,6,3,5707.59219088937,7019.29843172507,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1972
"SPR",1978,3,2,3409.09090909091,1005.48101334266,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1975
"SPR",1978,4,2,15865.3846153846,18503.4036399039,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"SPR",1978,4,3,0,90.4620790694373,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"SPR",1978,5,2,14554.1958041958,21792.3409452552,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"SPR",1978,5,3,2360.13986013986,4069.52500160772,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"SPR",1978,6,3,1311.18881118881,2243.45249773844,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1972
"GCL",1979,3,2,14613.4416365824,14151.5894008011,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1976
"GCL",1979,4,2,225237.611311673,231888.977058519,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1975
"GCL",1979,4,3,1906.10108303249,1935.26463199029,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1975
"GCL",1979,5,2,8259.77135980746,218523.468925501,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"GCL",1979,5,3,6353.67027677497,51329.6267721029,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"GCL",1979,6,3,7624.40433212996,23134.3549097493,1,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"SPR",1979,3,2,33397.685106383,4937.69037907144,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1976
"SPR",1979,4,2,34156.7234042553,66254.4686759148,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1975
"SPR",1979,4,3,867.472340425532,569.486161375725,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1975
"SPR",1979,5,2,7590.3829787234,63428.3219236591,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"SPR",1979,5,3,325.302127659574,14820.1004161648,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1974
"SPR",1979,6,3,108.434042553192,6638.65318752527,0,0,"resistivity counter","commercial catch records","scale sampling","assumed run timing",1973
"GCL",1980,3,2,9583.13466550825,8741.82337093286,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"GCL",1980,4,2,134386.748913988,171449.117755625,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"GCL",1980,4,3,891.45438748914,1184.3838459817,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"GCL",1980,5,2,69310.5786272806,182370.930781702,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1975
"GCL",1980,5,3,41006.9018245004,39294.8473792779,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1975
"GCL",1980,6,3,1337.18158123371,18815.1527774253,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1974
"SPR",1980,3,2,12525.567322239,4982.83849708799,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"SPR",1980,4,2,109703.093797277,93651.8001905354,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"SPR",1980,4,3,521.898638426626,638.736870740281,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"SPR",1980,5,2,7410.96066565809,96968.471929796,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1975
"SPR",1980,5,3,7828.47957639939,20597.095631125,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1975
"SPR",1980,6,3,0,10094.0542498901,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1974
"GCL",1981,3,2,16960.2798789713,12813.561735348,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"GCL",1981,4,2,139558.874432678,230622.529634547,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"GCL",1981,4,3,1453.73827534039,1720.1413988235,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"GCL",1981,5,2,46519.6248108926,236515.560492806,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"GCL",1981,5,3,5330.37367624811,51184.1094135193,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"GCL",1981,6,3,3715.10892586989,24683.4859824175,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1975
"SPR",1981,3,2,18152.7890222985,8662.59585008394,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"SPR",1981,4,2,91002.7975986278,150391.817032118,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"SPR",1981,4,3,2388.52487135506,1184.01734408906,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"SPR",1981,5,2,24721.2324185249,153992.183258855,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"SPR",1981,5,3,2388.52487135506,33330.821564507,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"SPR",1981,6,3,597.131217838765,16017.4942741218,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1975
"GCL",1982,3,2,21874.4931506849,4385.48759948984,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1979
"GCL",1982,4,2,39324.9315068493,72183.9675799489,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"GCL",1982,4,3,1966.24657534247,552.376159016827,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"GCL",1982,5,2,95854.5205479452,82876.9634465666,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"GCL",1982,5,3,14255.2876712329,16633.4219236192,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"GCL",1982,6,3,6144.52054794521,8453.44699153251,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"SPR",1982,3,2,35222.5837320574,6316.77068296681,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1979
"SPR",1982,4,2,133274.641148325,103879.461414044,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"SPR",1982,4,3,0,633.385273899435,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"SPR",1982,5,2,59735.5980861244,111329.051076609,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"SPR",1982,5,3,19753.2057416268,23055.8201570825,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"SPR",1982,6,3,713.971291866029,11338.8753583523,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1976
"GCL",1983,3,2,7830.51533742331,11957.455497882,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1980
"GCL",1983,4,2,220678.159509202,214344.750448778,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1979
"GCL",1983,4,3,1067.79754601227,1638.86397131703,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1979
"GCL",1983,5,2,101440.766871166,211331.5109189,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"GCL",1983,5,3,6762.71779141104,46635.6371658486,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"GCL",1983,6,3,10322.0429447853,22120.0854783975,1,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"SPR",1983,3,2,15529.3053016453,9291.28846784872,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1980
"SPR",1983,4,2,161410.658135283,158419.110061637,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1979
"SPR",1983,4,3,2117.63254113346,1273.13283337846,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1979
"SPR",1983,5,2,69881.873857404,156036.115020907,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"SPR",1983,5,3,5882.3126142596,34526.1761569236,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1978
"SPR",1983,6,3,2588.21755027422,16124.428130304,0,0,"resistivity counter","commercial + FN catch records","scale sampling","assumed run timing",1977
"GCL",1984,3,2,2309.57414659268,3922.9156707573,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"GCL",1984,4,2,59147.3884867978,163459.415545131,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"GCL",1984,4,3,0,0,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"GCL",1984,5,2,55611.1922777107,297781.305193351,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1979
"GCL",1984,5,3,12326.889216021,40725.7789789106,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1979
"GCL",1984,6,3,3914.95587287787,12945.3532927089,1,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1978
"SPR",1984,3,2,11780.2883713607,7251.18194929441,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1981
"SPR",1984,4,2,55786.9170287647,211701.848545038,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
"SPR",1984,4,3,946.535812641239,0,0,0,"resistivity counter","commercial + FN catch records + creel survey","scale sampling","assumed run timing",1980
