"lake","smolt_year","est","lwr_80","upr_80","cv","estimate_date"
"Great Central",1978,7429796.83284137,5259568.64945628,10495514.8713586,0.269882419225731,1978-03-01
"Great Central",1979,10324180.0987779,8431125.08338137,12642286.0125866,0.158248829232676,1979-03-01
"Great Central",1980,6499545.77827283,4549971.86940517,9284473.95640425,0.278602534217736,1980-03-01
"Great Central",1981,12417789.5036803,9392625.0535323,16417294.9818456,0.218129116662411,1981-03-01
"Great Central",1982,9387953.29489306,7424995.58443893,11869861.2093186,0.183261885153703,1982-03-01
"Great Central",1983,15608885.9254154,12464507.7503663,19546485.4859968,0.175746200813258,1983-03-01
"Great Central",1984,7671500.04815334,5511447.94365281,10678121.9001792,0.258347497144596,1984-03-01
"Great Central",1985,10801331.7090304,7240346.8314541,16113698.6120146,0.312500252166465,1985-03-01
"Great Central",1986,9701931.96346946,6878418.08688677,13684466.7821571,0.268700266322755,1986-03-01
"Great Central",1987,5563213.72586587,3797121.440629,8150739.30175265,0.298384910531927,1987-03-01
"Great Central",1988,4043987.81259882,2606238.43202458,6274881.54095855,0.343221343320843,1988-03-01
"Great Central",1989,6153995.66971199,3705626.78848586,10220042.347629,0.396288402441564,1989-03-01
"Great Central",1990,8867170.86485527,6894222.46871063,11404726.1316827,0.196618791002551,1990-03-01
"Great Central",1991,7680548.19228759,6330361.09819,9318713.35916668,0.151041909187206,1991-03-01
"Great Central",1992,2781104.46418251,1822826.42490428,4243158.83016786,0.330046766328549,1992-03-01
"Great Central",1993,7734512.1107926,6073690.4418912,9849477.53994689,0.188848441905922,1993-03-01
"Great Central",1994,4253136.92212791,2999689.67205196,6030348.35466619,0.272771851039839,1994-03-01
"Great Central",1995,7417450.25278102,5519679.04083241,9967711.50015708,0.230871603595252,1995-03-01
"Great Central",1996,11163416.2445004,9052156.14106092,13767091.542167,0.163780506438813,1996-03-01
"Great Central",1997,4686872.29406247,3351943.54622456,6553443.27788354,0.261894633648544,1997-03-01
"Great Central",1998,14222814.799654,10919531.8782782,18525378.4759456,0.206479882974794,1998-03-01
"Great Central",1999,9423382.67366025,6936586.04704692,12801706.8356046,0.2393628043514,1999-03-01
"Great Central",2000,8990754.81766309,6861909.98183608,11780054.3005233,0.211102328816956,2000-03-01
"Great Central",2001,14174491.5742368,9628585.85831062,20866637.567,0.302115323197199,2001-03-01
"Great Central",2002,3911936.26656509,1974260.12347111,7751382.49095632,0.534249025878285,2002-03-01
"Great Central",2003,10775719.710936,7051395.05399639,16467115.2870446,0.331304649241858,2003-03-01
"Great Central",2004,11036329.179895,7304760.744735,16674134.3109412,0.322395461977611,2004-03-01
"Great Central",2005,8859885.95480005,5520845.1208564,14218399.0700117,0.369533548781912,2005-03-01
"Great Central",2006,3980026.93455391,2088536.88297982,7584550.94993294,0.503769392122435,2006-03-01
"Great Central",2007,5686731.59271242,3288015.03321321,9835391.83394498,0.42800907909607,2007-03-01
"Great Central",2008,4716950.77427954,2566859.16319867,8668034.82090937,0.475374634694198,2008-03-01
"Great Central",2009,6074849.72524877,4461227.16671043,8272118.36683196,0.241197948956371,2009-03-01
"Great Central",2010,8548976.38990553,6615967.60012449,11046758.6500555,0.200254292807315,2010-03-01
"Great Central",2011,14549084.7756213,11157277.3342711,18972000.1991905,0.207371975698898,2011-03-01
"Great Central",2012,24912144.6134814,19885832.9990811,31208898.7809407,0.176053008936713,2012-03-01
