"lake","smolt_year","est","lwr_80","upr_80","cv","estimate_date","interpolated"
"Great Central",1978,6184032.97385447,4240387.91507067,8840798.12936797,0.285732940677013,1978-03-01,"No"
"Sproat",1978,3269574.35062107,625892.597394966,9241972.89632416,0.883523579886515,1978-03-01,"Yes"
"Hucuktlis",1978,1896269.75233551,1022920.76253825,3179926.97693519,0.449063207616878,1978-03-01,"No"
"Great Central",1979,8891192.30977294,7020583.86775235,11058889.4056418,0.177930116103052,1979-03-01,"No"
"Sproat",1979,3297585.50284383,563875.218233211,9188454.30937798,0.885659396751932,1979-03-01,"Yes"
"Hucuktlis",1979,917112.421869078,309931.916677072,2260248.23300895,0.750801851165535,1979-03-01,"No"
"Great Central",1980,5166115.00333986,3437394.02035859,7464738.61888411,0.297942651167173,1980-03-01,"No"
"Sproat",1980,3508882.04980683,1788486.4055057,6110093.48484498,0.468824126853767,1980-03-01,"No"
"Hucuktlis",1980,1046200.55653069,406756.516911552,2385310.47693345,0.685530559544396,1980-03-01,"No"
"Great Central",1981,10047048.0195008,7361842.25778055,13465059.2836434,0.240603303885801,1981-03-01,"No"
"Sproat",1981,3680828.37679234,2022253.14277188,6409259.94528941,0.462946769230322,1981-03-01,"No"
"Hucuktlis",1981,1301951.53798704,664646.29816714,2384819.66454121,0.49521789232926,1981-03-01,"No"
"Great Central",1982,7957389.95792077,6099054.86969484,10305052.704775,0.205390539199149,1982-03-01,"No"
"Sproat",1982,6383142.54193303,4675800.66140341,8580219.37044321,0.234851254589465,1982-03-01,"No"
"Hucuktlis",1982,1053042.60035842,540250.023123467,1888549.92817591,0.477828373577982,1982-03-01,"No"
"Great Central",1983,13015747.2809842,10065929.8288964,16602053.7427801,0.197542208400614,1983-03-01,"No"
"Sproat",1983,7467723.64776749,5675685.3993513,9698765.38892517,0.208332999273212,1983-03-01,"No"
"Hucuktlis",1983,2057446.41424531,1252138.82370912,3214565.4548968,0.360058022722564,1983-03-01,"No"
"Great Central",1984,6457951.26561556,4541892.36259294,9042649.58241605,0.272965338133988,1984-03-01,"No"
"Sproat",1984,6346179.31555982,4440784.46334513,8724664.03748428,0.260550734678648,1984-03-01,"No"
"Hucuktlis",1984,2000922.1921465,1180978.39068442,3244683.21911913,0.39590618230795,1984-03-01,"No"
"Great Central",1985,8667875.7318433,5506259.99504722,13006297.5562566,0.335510480092959,1985-03-01,"No"
"Sproat",1985,9860789.68131187,6822756.18580705,14108963.9236742,0.28135822211957,1985-03-01,"No"
"Hucuktlis",1985,1559398.27146797,845690.86526072,2797638.90658025,0.479734734373036,1985-03-01,"No"
"Great Central",1986,7823057.55158497,5381334.9863058,11284395.601855,0.28926312371766,1986-03-01,"No"
"Sproat",1986,4017928.50016927,2680460.39174025,5789534.68204342,0.294617757288879,1986-03-01,"No"
"Hucuktlis",1986,1790705.95043865,985266.034135056,3104466.10566663,0.454130804014813,1986-03-01,"No"
"Great Central",1987,4544153.3608655,3021096.87357868,6749761.52430061,0.318070595400129,1987-03-01,"No"
"Sproat",1987,4086248.95275327,2999800.09587092,5447002.59778551,0.233259435771966,1987-03-01,"No"
"Hucuktlis",1987,596391.550812935,307445.036003296,1079463.47463177,0.491945323383254,1987-03-01,"No"
"Great Central",1988,3409684.2136388,2121633.88720044,5245229.05260613,0.355586541819966,1988-03-01,"No"
"Sproat",1988,5651745.31654434,4084411.44971414,7624875.87669544,0.2430930627238,1988-03-01,"No"
"Hucuktlis",1988,364691.126888894,142472.644418699,809501.459798547,0.659401372022263,1988-03-01,"No"
"Great Central",1989,4945620.62723015,2776132.53238282,8171243.16332073,0.421475583272979,1989-03-01,"No"
"Sproat",1989,5257050.29651453,3197739.57702103,8106924.11809603,0.358509710601599,1989-03-01,"No"
"Hucuktlis",1989,840438.908703629,386630.833770939,1716453.46787115,0.593795559815093,1989-03-01,"No"
"Great Central",1990,7851161.15113519,5926280.15094001,10199253.2272202,0.213930389787736,1990-03-01,"No"
"Sproat",1990,7287594.55901516,5648370.28654961,9349059.82125128,0.198396969807572,1990-03-01,"No"
"Hucuktlis",1990,1888403.56979742,1135291.12136756,3029391.01352109,0.388370096925432,1990-03-01,"No"
"Great Central",1991,6557709.8197461,5274239.46419175,8094331.45385431,0.16837020620994,1991-03-01,"No"
"Sproat",1991,5344248.89682951,4248004.39721305,6649325.32996321,0.173769340699809,1991-03-01,"No"
"Hucuktlis",1991,848636.524716242,384487.072817191,1713236.11558048,0.599040555686871,1991-03-01,"No"
"Great Central",1992,2084199.00714164,1296716.69556954,3158608.04856328,0.343251622348513,1992-03-01,"No"
"Sproat",1992,3135380.27738638,2149064.56205999,4438066.86923252,0.279693652203399,1992-03-01,"No"
"Hucuktlis",1992,357481.361247089,139304.216170838,800316.429948146,0.681837655660792,1992-03-01,"No"
"Great Central",1993,6465441.1664178,4912643.12692228,8308748.96418821,0.206919580421032,1993-03-01,"No"
"Sproat",1993,2962673.82306792,2022131.78363843,4285678.10651261,0.293211042920886,1993-03-01,"No"
"Hucuktlis",1993,613839.833008544,292820.555556692,1129724.06915564,0.522348688669132,1993-03-01,"No"
"Great Central",1994,3578775.27089409,2439912.91591224,5015280.94833747,0.278975573220631,1994-03-01,"No"
