"year","lake","sample_days","rate_age1","rate_age2","rate_age1+","prop_age1","prop_age2","prop_age1+"
1977,"Great Central",24,92.5768483401227,4.13148499321066,25.544281538807,0.757258635628739,0.0337946554151961,0.208946708956065
1978,"Great Central",10,69.655718461193,25.544281538807,7.88888888888889,0.675685994988938,0.24778889184012,0.076525113170942
1979,"Great Central",9,141.555555555556,7.88888888888889,0,0.947211895910781,0.0527881040892193,0
1980,"Great Central",7,65,0,3,0.955882352941177,0,0.0441176470588235
1981,"Great Central",6,89.5,3,25.6666666666667,0.757404795486601,0.0253878702397743,0.217207334273625
1982,"Great Central",3,63.3333333333333,25.6666666666667,5.83333333333333,0.667838312829525,0.270650263620387,0.0615114235500879
1983,"Great Central",6,89.6666666666667,5.83333333333333,16.258064516129,0.802328378313369,0.0521960840910184,0.145475537595613
1984,"Great Central",4,83.741935483871,16.258064516129,12,0.747695852534562,0.145161290322581,0.107142857142857
1985,"Great Central",3,139.333333333333,12,27.3333333333333,0.779850746268657,0.0671641791044776,0.152985074626866
1986,"Great Central",3,79.3333333333333,27.3333333333333,8.375,0.68960521550163,0.237595074248461,0.0727997102499095
1987,"Great Central",8,103.125,8.375,10.624622178736,0.844424311496096,0.068577489539683,0.086998198964221
1988,"Great Central",7,100.375377821264,10.624622178736,4.15594424360415,0.871647386338365,0.0922629070390006,0.0360897066226346
1989,"Great Central",7,141.12977004211,4.15594424360415,11,0.903024122755732,0.026591964995639,0.0703839122486289
1990,"Great Central",10,108.6,11,72.1244854595106,0.56643782216818,0.0573739967205339,0.376188181111286
1991,"Great Central",9,312.764403429378,72.1244854595106,2.66666666666667,0.807018242793694,0.186101023261352,0.00688073394495413
1992,"Great Central",9,116.888888888889,2.66666666666667,1.90749811231713,0.962341101751885,0.0219545498498529,0.0157043483982625
1993,"Great Central",10,396.892501887683,1.90749811231713,38.2008849557522,0.908218988910902,0.00436497539932962,0.0874160356897679
1994,"Great Central",10,151.099115044248,38.2008849557522,31.7777777777778,0.683465866913721,0.172793870735171,0.143740262351108
1995,"Great Central",9,119.444444444444,31.7777777777778,90.75,0.493628745264608,0.13132820571691,0.375043049018482
1996,"Great Central",8,172.75,90.75,21.0752052084169,0.607045156564085,0.318896370235547,0.0740584732003684
1997,"Great Central",7,123.496223363012,21.0752052084169,3.0091148991996,0.836805587367892,0.142804767571623,0.0203896450604851
1998,"Great Central",5,327.3908851008,3.0091148991996,26.9393477202006,0.916190414488443,0.00842088876693132,0.0753886967446259
1999,"Great Central",6,167.393985613133,26.9393477202006,9.29485338980009,0.822057045770057,0.132296752005307,0.045646202224636
2000,"Great Central",4,377.4551466102,9.29485338980009,37.4814608636977,0.88973869557372,0.0219098634761236,0.0883514409501567
2001,"Great Central",5,143.918539136302,37.4814608636977,1.75,0.78579600948022,0.20464898096477,0.00955500955500956
2002,"Great Central",4,59.75,1.75,10,0.835664335664336,0.0244755244755245,0.13986013986014
2003,"Great Central",1,134,10,NA,NA,NA,NA
2004,"Great Central",NA,NA,NA,NA,NA,NA,NA
