"spec","stock","enh","data_scope","ref_pt","q10","q50","q90","long_name"
"GCL","Great Central",NA,"full","lnalpha",0.772107499604098,1.20899700772903,1.64821939216921,"Great Central Lake"
"GCL","Great Central",NA,"full","beta",1.93217268814604e-06,3.4501733668452e-06,5.15799398279786e-06,"Great Central Lake"
"GCL","Great Central",NA,"full","Umsy",0.346576968249772,0.505264667143609,0.63643159014075,"Great Central Lake"
"GCL","Great Central",NA,"full","Smsy0.8",82491.4717142409,113574.700217959,181192.364964293,"Great Central Lake"
"GCL","Great Central",NA,"full","Smsy",103114.339642801,141968.375272449,226490.456205367,"Great Central Lake"
"GCL","Great Central",NA,"full","Sgen",28734.6657515008,50728.90765698,95582.106063326,"Great Central Lake"
"GCL","Great Central",NA,"full","Seq",247245.209835943,344717.423382877,540310.110899358,"Great Central Lake"
"SPR","Sproat",NA,"full","lnalpha",1.04330415315114,1.54410759914302,2.01742146243424,"Sproat Lake"
"SPR","Sproat",NA,"full","beta",3.19254147583206e-06,5.82080282222026e-06,8.49616218000457e-06,"Sproat Lake"
"SPR","Sproat",NA,"full","Umsy",0.448390052969588,0.607891333068716,0.725309864782403,"Sproat Lake"
"SPR","Sproat",NA,"full","Smsy0.8",63653.905154686,82072.8319168347,124408.105033508,"Sproat Lake"
"SPR","Sproat",NA,"full","Smsy",79567.3814433575,102591.039896043,155510.131291885,"Sproat Lake"
"SPR","Sproat",NA,"full","Sgen",13040.6116474483,26103.0119140432,56264.9225491699,"Sproat Lake"
"SPR","Sproat",NA,"full","Seq",206123.701603916,263779.877266469,384390.921046885,"Sproat Lake"
"HUC_full_noenh","Hucuktlis",NA,"full","lnalpha",0.198221213678618,0.652635348256511,1.21190063718488,"Hucuktlis Lake (all data)"
"HUC_full_noenh","Hucuktlis",NA,"full","beta",6.85703958273352e-06,1.6923732125619e-05,2.96254933093465e-05,"Hucuktlis Lake (all data)"
"HUC_full_noenh","Hucuktlis",NA,"full","Umsy",0.0966148830770211,0.298335474765618,0.50622510116562,"Hucuktlis Lake (all data)"
"HUC_full_noenh","Hucuktlis",NA,"full","Smsy0.8",5314.62157245189,13217.2546537333,33060.2189662317,"Hucuktlis Lake (all data)"
"HUC_full_noenh","Hucuktlis",NA,"full","Smsy",6643.27696556486,16521.5683171667,41325.2737077896,"Hucuktlis Lake (all data)"
"HUC_full_noenh","Hucuktlis",NA,"full","Sgen",4664.66995207469,9155.32528272138,21810.7414660869,"Hucuktlis Lake (all data)"
"HUC_full_noenh","Hucuktlis",NA,"full","Seq",13791.7985523131,37060.3398847895,93883.5373350289,"Hucuktlis Lake (all data)"
"HUC_trim_noenh","Hucuktlis",NA,"trim","lnalpha",0.309045220717678,0.842044632767789,1.39245244783217,"Hucuktlis Lake (excl. 1993)"
"HUC_trim_noenh","Hucuktlis",NA,"trim","beta",1.2121951110964e-05,2.94592933851142e-05,4.89078407646883e-05,"Hucuktlis Lake (excl. 1993)"
"HUC_trim_noenh","Hucuktlis",NA,"trim","Umsy",0.148403155545456,0.3738612858591,0.563495603562706,"Hucuktlis Lake (excl. 1993)"
"HUC_trim_noenh","Hucuktlis",NA,"trim","Smsy0.8",5073.60313235061,9651.27920701895,19008.3588386367,"Hucuktlis Lake (excl. 1993)"
"HUC_trim_noenh","Hucuktlis",NA,"trim","Smsy",6342.00391543826,12064.0990087737,23760.4485482958,"Hucuktlis Lake (excl. 1993)"
"HUC_trim_noenh","Hucuktlis",NA,"trim","Sgen",3136.93369372524,5806.90315789752,12783.7246416759,"Hucuktlis Lake (excl. 1993)"
"HUC_trim_noenh","Hucuktlis",NA,"trim","Seq",13488.5008160506,27818.3305412821,55322.3167898581,"Hucuktlis Lake (excl. 1993)"
"HUC_full_enh","Hucuktlis",0,"full","lnalpha",0.134457771673414,0.618446845631868,1.40087973821823,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",1,"full","lnalpha",0.350759145391683,0.922839144636017,1.79556231256904,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",0,"full","beta",5.35911009630818e-06,2.40467190169728e-05,8.1211927057061e-05,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",1,"full","beta",6.45708306158655e-06,1.5306969631579e-05,2.75711650091815e-05,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",0,"full","Umsy",0.0660864102802287,0.28415509584185,0.566051143644375,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",1,"full","Umsy",0.167471417874859,0.404494496151763,0.674173145453045,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",0,"full","Smsy0.8",1961.6375016049,7703.77148298765,38253.2717620453,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",1,"full","Smsy0.8",8712.91610309725,19883.8264990499,51783.928222232,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",0,"full","Smsy",2452.04687700613,9629.71435373456,47816.5897025566,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",1,"full","Smsy",10891.1451288716,24854.7831238124,64729.91027779,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",0,"full","Sgen",1491.8914662558,5327.73963706518,26274.4532464575,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",1,"full","Sgen",4953.13602339293,10277.6574458738,25561.3271543167,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",0,"full","Seq",5088.75614238997,21714.9945407628,107278.540048844,"Hucuktlis Lake (w/enhancement term)"
"HUC_full_enh","Hucuktlis",1,"full","Seq",23128.3120240737,57641.3243260276,166398.022357829,"Hucuktlis Lake (w/enhancement term)"
"HUC_trim_enh","Hucuktlis",0,"trim","lnalpha",0.146917665628225,0.638309244473989,1.40156134097084,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","lnalpha",0.407086223444696,1.06293483189368,1.86269343535447,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","beta",5.13150875701715e-06,2.39512178405025e-05,8.02393716738388e-05,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","beta",9.46351076055655e-06,2.59344440263391e-05,4.61021781109319e-05,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Umsy",0.072093432639714,0.292413644119701,0.566257378492244,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Umsy",0.192845733390398,0.455340456565406,0.690357278358156,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Smsy0.8",2191.19165740476,8195.49040893885,38792.066823169,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Smsy0.8",6905.9990356009,12765.7158212889,34643.1162830966,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Smsy",2738.98957175595,10244.3630111736,48490.0835289613,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Smsy",8632.49879450113,15957.1447766112,43303.8953538707,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Sgen",1594.04493943182,5671.90693372811,26658.9898500408,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Sgen",2951.66375652147,6299.10789881998,16577.1835923585,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",0,"trim","Seq",5778.8611288608,23299.251539129,110706.095576229,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
"HUC_trim_enh","Hucuktlis",1,"trim","Seq",19071.7919277627,38384.2772747944,107847.141605772,"Hucuktlis Lake (w/enhancement term; excl. 1993)"
