"stock","year","S_5","S_50","S_95"
"HUC",1972,2852.98428444288,7425.48077125718,17411.0873081377
"HUC",1973,5004.56324262558,11268.4160152175,24063.5836286221
"HUC",1974,4226.26436003949,10280.0734945138,21856.0570452728
"HUC",1975,3321.35046866422,7855.756443299,17014.5532042495
"HUC",1976,3304.85340094019,8756.51822590191,19626.8675263362
"HUC",1977,3159.6141290542,8950.57046929533,23111.7962150055
"HUC",1978,11015.8989137577,24360.3944009142,49919.2509356204
"HUC",1979,7190.75284749354,19241.2762727769,48328.0570295568
"HUC",1980,17836.5861543912,50086.9425901559,114179.039694569
"HUC",1981,36101.012141404,53561.0423412925,78723.2785901003
"HUC",1982,29369.749233051,41103.3371630438,57240.2060318715
"HUC",1983,23071.8087814277,34765.1504749923,51680.6570902352
"HUC",1984,35573.147041929,50813.5677667619,73067.4652274144
"HUC",1985,13682.2122368698,19451.9591574089,27434.2389797519
"HUC",1986,2811.55722372869,3653.55112855131,4696.62626113005
"HUC",1987,14912.3016285971,21981.8744775565,32674.4837141216
"HUC",1988,24425.7269066594,33616.5825604437,46271.3364514586
"HUC",1989,10546.9082757673,13454.0816396836,17066.5825889265
"HUC",1990,19831.5379185759,27809.2866954808,39226.070195871
"HUC",1991,21491.5544644732,31344.9718178552,45382.9436360527
"HUC",1992,24074.1939288902,35360.6186473233,51729.2977411755
"HUC",1993,80479.4012699277,115680.670091081,165682.000529283
"HUC",1994,9748.80934046371,14233.3203771741,20915.3756900008
"HUC",1995,5087.12005018178,7278.83322858317,9911.23617950764
"HUC",1996,38504.8321987277,55059.7781424219,77896.2570777987
"HUC",1997,36969.9053126241,48943.1444247041,64667.9870967015
"HUC",1998,47496.1377070227,69573.72780517,100789.33078589
"HUC",1999,8664.83179925554,12604.0232074545,18294.7961811187
"HUC",2000,15480.7371150311,21106.2190943112,27284.670814176
"HUC",2001,10339.1134282086,17666.9427454193,29773.4956389076
"HUC",2002,5647.19489251702,9929.30610436082,17317.7252939747
"HUC",2003,1366.66467133951,2384.8617051927,4123.07194950872
"HUC",2004,794.759431293198,1062.83214993404,1363.13594343989
"HUC",2005,799.839192185534,1446.97666587763,2583.84105236572
"HUC",2006,2328.10375109758,4032.58180750013,6935.99677997441
"HUC",2007,5307.91047056772,7714.26000493676,11099.8262957826
"HUC",2008,180.625665722652,223.854134802344,278.070832120152
"HUC",2009,3575.40707522334,6194.12292083349,10586.2592041345
"HUC",2010,9954.17851706534,18992.5140227889,35665.0207228928
"HUC",2011,16946.7323918815,20806.3429091677,25518.4290473577
"HUC",2012,10190.0253020796,14292.7636631651,20159.2529466227
"HUC",2013,9983.14449448844,14750.3197538574,21648.4038466198
"HUC",2014,7652.10667711479,11265.2320333548,16507.3939127544
"HUC",2015,4977.65792588372,7376.42595842543,10843.0645343708
"HUC",2016,7269.07001526384,10681.3710552903,15734.7061847375
"HUC",2017,13145.5059285744,18617.8855639368,26412.3513363547
"HUC",2018,9885.21369659191,13908.5477398203,19740.7493777123
