"cu","Rmeas","draw","year","alpha","beta"
"Great Central","BYO","1",NA,325.971830675614,5571689.2477579
"Great Central","BYO","2",NA,362.800034961635,5553065.36152376
"Great Central","BYO","3",NA,389.432554671787,5793645.85420414
"Great Central","BYO","4",NA,304.44742605762,5839027.22071988
"Great Central","BYO","5",NA,391.770119168571,5770198.67316751
"Great Central","BYO","6",NA,267.229723461383,5559358.49955587
"Great Central","BYO","7",NA,319.609145854285,5595707.20800404
"Great Central","BYO","8",NA,250.219368159152,5930191.16007531
"Great Central","BYO","9",NA,282.184633683492,5384827.9268794
"Great Central","BYO","10",NA,302.628309606336,6132560.4669329
"Great Central","BYO","11",NA,365.564146375204,5771350.57475642
"Great Central","BYO","12",NA,378.538722998849,5269348.16045416
"Great Central","BYO","13",NA,321.306094935936,6045692.05249407
"Great Central","BYO","14",NA,343.452183858797,5865704.33942684
"Great Central","BYO","15",NA,289.115056289198,5767031.66376097
"Great Central","BYO","16",NA,292.665056432518,5866048.4484736
"Great Central","BYO","17",NA,268.195926612621,5759630.84083567
"Great Central","BYO","18",NA,263.044325896878,5698513.01468808
"Great Central","BYO","19",NA,316.260655611309,5948868.38403308
"Great Central","BYO","20",NA,324.716004909335,5756993.8465012
"Great Central","BYO","21",NA,398.127296315265,5505924.61026
"Great Central","BYO","22",NA,195.137761865782,6214058.79278291
"Great Central","BYO","23",NA,280.554777357771,6079466.19634562
"Great Central","BYO","24",NA,343.898805130079,5643236.21256396
"Great Central","BYO","25",NA,280.272765446536,5565465.96420257
"Great Central","BYO","26",NA,312.614302200328,5992833.81674226
"Great Central","BYO","27",NA,238.32154122177,5815275.24905285
"Great Central","BYO","28",NA,284.784208982954,5946467.28547175
"Great Central","BYO","29",NA,279.091261523799,6013932.86956054
"Great Central","BYO","30",NA,330.675718676614,5623770.48721506
"Great Central","BYO","31",NA,329.511954333007,5562406.53779855
"Great Central","BYO","32",NA,292.776131700527,5918776.52172045
"Great Central","BYO","33",NA,351.925245136749,5828790.78992357
"Great Central","BYO","34",NA,296.841319783252,5931985.7424339
"Great Central","BYO","35",NA,323.801984864454,5343095.6988881
"Great Central","BYO","36",NA,209.326337310867,6237572.18413741
"Great Central","BYO","37",NA,260.920596076781,6051122.24900607
